Topic,Link,Git Hub,Date,Notes,
Array,Two Sum,twoSum.java,22 Mar,Maps,
Array,Two Sum II - Input Array Is Sorted,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/twoSum2.java,6 Apr,2 pointers,
Array,Remove Duplicates from Sorted Array,removeDuplicates.java,22 Mar,Two pointers,
Array,Product of Array Except Self,productExceptSelf.java,23 Mar,"Prefix, Suffix",
Array,Container With Most Water,maxArea.java,23 Mar,Two pointers,
Array,Trapping Rain Water,trap.java,23 Mar,"Prefix, Suffix",
Array,Rotate Array,,,,
Array,Move Zeroes,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/moveZeroes.java,29 Mar,Two pointers,
Array,Group Anagrams,groupAnagrams.java,29 Mar,Master Key,
Array,Missing Number,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/missingNumber.java,5 Apr,Xor,
Array,Top K Frequent Elements,topKFrequent.java,6 Apr,Map and Flipped Map and query by decreasing order,
Array,Sort Colors,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/sortColors.js,27 Apr,3 pointers,
Array,Spiral Matrix,,,,
Array,Majority Element,majorityElement.java,29 Mar,Fight for Throne,
Array,Majority Element II,,,,
Array,Longest Consecutive Sequence,longestConsecutive.java,5 Apr,"Check for start of sequence, skip if not",78/81 cases
Array,Longest Common Prefix,,,,
Array,Longest Substring Without Repeating Characters,lengthOfLongestSubstring.java,5 Apr,"2 pointer, Map",
Array,Maximum Subarray,Assignment,,,
Array,Reverse Words in a String,,,,
Array,String Compression,,,,
Array,Is Subsequence,,,,
Array,Max Number of K-Sum Pairs,,,,
Array,Two Sum II - Input Array Is Sorted,,,,
Array,3Sum,threeSum.java,6 Apr,"Sorting, and 2 pointers",
Array,Permutation in String,,,,
Array,Min Stack,,,,
Array,Sliding Window Maximum,,,,
Array,Minimum Window Substring,,,,
Array,Daily Temperatures,,,,
Array,Car Fleet,,,,
Array,Largest Rectangle in Histogram,,,,
Array,Expression Add Operators,,,,
Linked List,Implementation,LinkedList.java,12 Apr,,
Doubly Linked List,,,,,
Linked List,Reverse Linked List,reverseList.java,12 Apr,,
Linked List,Merge Two Sorted Lists,mergeTwoLists.java,,Dummy pointer,
Linked List,Reorder List,Assignment,,,
Linked List,Linked List Cycle,hasCycle.js,13 Apr,fast and slow,
Linked List,Linked List Cycle II,detectCycle.java,13 Apr,fast and slow floyds,
Linked List,Find the Duplicate Number,findDuplicate.java,13 Apr,fast and slow floyds,
Linked List,LRU Cache,DoublyLinkedList.java,19 Apr,Doubly LL and Map,
Linked List,Remove Duplicates from Sorted List,deleteDuplicates.java,13 Apr,,
Linked List,Intersection of Two Linked Lists,getIntersectionNode.java,13 Apr,count method or fair unfair race method ,
Linked List,460. LFU Cache,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/LFU.js,20 Apr,Two hashmap and Doubly linkedList,
Linked List,Design Browser History,Assignment,,,
Sorting,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/AllSorting.js,,26 Apr,,
Recursion,Subsets,subsets.java,27 Apr,"Bag, trolly",
Recursion,Subsets Sum No Duplicate Bags in Trolly ,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/subsetsWithDup.js,27 Apr,for loop based and sorting to avoid duplicates,
Recursion,Target Sum All bags,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/targetSum.js,3 May,,
,Target Sum Only one answer Possible,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/targetSumOneAnswer.js,3 May,,
Recursion,Combination Sum - Infinite selection,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/combinationSum.js,3 May,,
Recursion,Subset Sum with Infinite Selection and Only one answer,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/targetSumInfiniteOneAnswer.js,3 May,,
Recursion,N-Queens,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/solveNQueens.js,3 May,,
Recursion,N-Queens II,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/totalNQueens.js,3 May,,
Recursion,Sudoku Solver,Assignment,3 May,,
Recursion In class students solving,,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/sourav.cpp,4 May,,
Recursion In class students solving,,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/renu.cpp,4 May,,
Recursion In class students solving,,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/mrinalika.js,4 May,,
Recursion,Climbing Stairs,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/climbStairs.js,4 May,,
Recursion,Unique Paths,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/kriti.js,4 May,,
Recursion,Generate Parentheses,Assignment,4 May,,
Recursion,https://leetcode.com/problems/permutation-sequence/description/,TODO in class,,,
Trees,"BST IMP(DFS,BFS, Remove, Add)",https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/bst.java,10 May,,
Trees,Binary Tree Level Order Traversal,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/levelOrder.js,11 May,,
Trees,Binary Tree Preorder Traversal,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/preorderTraversal.java,11 May,,
Trees,Delete Node in a BST,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/deleteNode.js,11 May,,
Trees,Invert Binary Tree,Assignment,10 May,,
Trees,Maximum Depth of Binary Tree,Assignment,10 May,,
Trees,Diameter of Binary Tree,Assignment,10 May,,
Trees,Same Tree,Assignment,10 May,,
Trees,Subtree of Another Tree,Assignment,10 May,,
Trees,Lowest Common Ancestor of a Binary Search Tree,lowestCommonAncestorBST.js,25 May,,
Trees,Lowest Common Ancestor of a Binary Tree,lowestCommonAncestor.js,25 May,,
Trees,Binary Tree Zigzag Level Order Traversal,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/zigzagLevelOrder.js,17 May,,
Trees,Top View of BTREE,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/topView.js,17 May,,
Trees,Vertical Order Traversal of a Binary Tree,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/verticalTraversal.java,17 May,,
Trees,Full Binary Tree using Array,Discussed,11 May,,
Trees,Serialize and Deserialize Binary Tree,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/serializeNdeserialize.js,24 May,,
Heap,Implementation of Heap,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/heap.java,24 May,,
Graphs,Graph Facebook Implementation,graph.java,25 May,,
Graphs,Graph Traversal,graphTraversalBfsDfs.java,25 May,,
Graphs,Clone Graph,cloneGraph.java,25 May,,
Graphs,Rotting Oranges,orangesRotting.js,31 May,,
Graphs,Number of Islands,numIslands.java,31 May,,
Graphs,Flood Fill,floodFill.java,31 May,,
Graphs,Number of Lakes,,,,
Graphs,Course Schedule,canFinish.js,31 May,,
Graphs,Course Schedule II,findOrder.js,31 May,,
Graphs,Longest Increasing Path in a Matrix,Assignment,,,
Graphs,913. Cat and Mouse,,,,
